date,symbol,price,eps,book_value,sales,dividend,market_cap,debt,cash,ebitda
2024-04-01,600519.SH,1586.91777,19.16,191.7729096394804,0.0,5.775285954508661,1983776706576.9497,36987774717.85,74197126391.43,28878314848.98
2024-04-02,600519.SH,1579.5777699999999,19.16,191.7729096394804,0.0,5.775285954508661,1974601107625.6096,36987774717.85,74197126391.43,28878314848.98
2024-04-03,600519.SH,1580.6977699999998,19.16,191.7729096394804,0.0,5.775285954508661,1976001199018.7295,36987774717.85,74197126391.43,28878314848.98
2024-04-08,600519.SH,1532.24777,19.16,191.7729096394804,0.0,5.775285954508661,1915434745450.2798,36987774717.85,74197126391.43,28878314848.98
2024-04-09,600519.SH,1527.80777,19.16,191.7729096394804,0.0,5.775285954508661,1909884383141.8396,36987774717.85,74197126391.43,28878314848.98
2024-04-10,600519.SH,1513.5677699999999,19.16,191.7729096394804,0.0,5.775285954508661,1892083221143.5996,36987774717.85,74197126391.43,28878314848.98
2024-04-11,600519.SH,1513.5877699999999,19.16,191.7729096394804,0.0,5.775285954508661,1892108222775.6196,36987774717.85,74197126391.43,28878314848.98
2024-04-12,600519.SH,1499.6177699999998,19.16,191.7729096394804,0.0,5.775285954508661,1874644582809.6497,36987774717.85,74197126391.43,28878314848.98
2024-04-15,600519.SH,1538.5677699999999,19.16,191.7729096394804,0.0,5.775285954508661,1923335261168.5996,36987774717.85,74197126391.43,28878314848.98
2024-04-16,600519.SH,1535.5877699999999,19.16,191.7729096394804,0.0,5.775285954508661,1919610017997.6196,36987774717.85,74197126391.43,28878314848.98
2024-04-17,600519.SH,1532.5877699999999,19.16,191.7729096394804,0.0,5.775285954508661,1915859773194.6196,36987774717.85,74197126391.43,28878314848.98
2024-04-18,600519.SH,1536.3677699999998,19.16,191.7729096394804,0.0,5.775285954508661,1920585081646.3997,36987774717.85,74197126391.43,28878314848.98
2024-04-19,600519.SH,1512.2277699999997,19.16,191.7729096394804,0.0,5.775285954508661,1890408111798.2595,36987774717.85,74197126391.43,28878314848.98
2024-04-22,600519.SH,1540.6477699999998,19.16,191.7729096394804,0.0,5.775285954508661,1925935430898.6794,36987774717.85,74197126391.43,28878314848.98
2024-04-23,600519.SH,1557.8677699999998,19.16,191.7729096394804,0.0,5.775285954508661,1947461836067.8997,36987774717.85,74197126391.43,28878314848.98
2024-04-24,600519.SH,1559.1877699999998,19.16,191.7729096394804,0.0,5.775285954508661,1949111943781.2195,36987774717.85,74197126391.43,28878314848.98
2024-04-25,600519.SH,1558.6277699999998,19.16,191.7729096394804,0.0,5.775285954508661,1948411898084.6597,36987774717.85,74197126391.43,28878314848.98
2024-04-26,600519.SH,1575.01777,19.16,191.7729096394804,0.0,5.775285954508661,1968900735525.0496,36987774717.85,74197126391.43,28878314848.98
2024-04-29,600519.SH,1569.5877699999999,19.16,191.7729096394804,0.0,5.775285954508661,1962112792431.6196,36987774717.85,74197126391.43,28878314848.98
2024-04-30,600519.SH,1570.5877699999999,19.16,191.7729096394804,0.0,5.775285954508661,1963362874032.6196,36987774717.85,74197126391.43,28878314848.98
2024-05-06,600519.SH,1625.78777,19.16,191.7729096394804,0.0,5.775285954508661,2032367378407.8196,36987774717.85,74197126391.43,28878314848.98
2024-05-07,600519.SH,1635.5877699999999,19.16,191.7729096394804,0.0,5.775285954508661,2044618178097.6196,36987774717.85,74197126391.43,28878314848.98
2024-05-08,600519.SH,1629.55777,19.16,191.7729096394804,0.0,5.775285954508661,2037080186043.5896,36987774717.85,74197126391.43,28878314848.98
2024-05-09,600519.SH,1621.5877699999999,19.16,191.7729096394804,0.0,5.775285954508661,2027117035683.6196,36987774717.85,74197126391.43,28878314848.98
2024-05-10,600519.SH,1604.5677699999999,19.16,191.7729096394804,0.0,5.775285954508661,2005840646834.5996,36987774717.85,74197126391.43,28878314848.98
2024-05-13,600519.SH,1571.5877699999999,19.16,191.7729096394804,0.0,5.775285954508661,1964612955633.6196,36987774717.85,74197126391.43,28878314848.98
2024-05-14,600519.SH,1567.5677699999999,19.16,191.7729096394804,0.0,5.775285954508661,1959587627597.5996,36987774717.85,74197126391.43,28878314848.98
2024-05-15,600519.SH,1565.58777,19.16,191.7729096394804,0.0,5.775285954508661,1957112466027.6199,36987774717.85,74197126391.43,28878314848.98
2024-05-16,600519.SH,1570.0877699999999,19.16,191.7729096394804,0.0,5.775285954508661,1962737833232.1196,36987774717.85,74197126391.43,28878314848.98
2024-05-17,600519.SH,1580.5877699999999,19.16,191.7729096394804,0.0,5.775285954508661,1975863690042.6196,36987774717.85,74197126391.43,28878314848.98
2024-05-20,600519.SH,1574.58777,19.16,191.7729096394804,0.0,5.775285954508661,1968363200436.6199,36987774717.85,74197126391.43,28878314848.98
2024-05-21,600519.SH,1570.5877699999999,19.16,191.7729096394804,0.0,5.775285954508661,1963362874032.6196,36987774717.85,74197126391.43,28878314848.98
